NAME,COUNTRY,LONGITUDE,LATITUDE,TAMAX,TAMAXDATE,TAMIN,TAMINDATE
CONNELLY CREEK, AB CA,-114.2167,49.6167,6.48,1987,2.49,1982
COP UPPER, AB CA,-114.2167,51.0833,6.31,2016,3.84,2002
COWLEY, AB CA,-114.1167,49.6833,5.13,1963,2.55,1972
COWLEY A, AB CA,-114.0833,49.6333,5.24,1958,1.32,1951
COCHRANE CATHCART, AB CA,-114.3667,51.2,4.39,1991,4.39,1991
ENCHANT AGDM, AB CA,-112.4333,50.1833,6.59,2006,3.87,2009
ETZIKOM AGCM, AB CA,-111.05,49.55,6.29,2015,3.63,2019
FINCASTLE AGDM, AB CA,-112.0333,49.8,7.5,2016,4.59,2019
FIVE MILE CREEK, AB CA,-113.8333,49.7667,5.05,1987,3.25,1993
FOREMOST, AB CA,-111.45,49.4833,7.31,2001,3.27,1978
FOREMOST AGDM, AB CA,-111.4833,49.4833,6.94,2006,3.77,2019
FORT MACLEOD, AB CA,-113.4,49.7167,7.89,1987,3.15,1916
FORT MACLEOD AGCM, AB CA,-113.3833,49.7833,6.67,2016,3.96,2019
FORT MACLEOD NORTH, AB CA,-113.2833,49.8667,6.33,1991,5.84,1990
GLEICHEN, AB CA,-113.05,50.8833,6.9,1987,1.03,1951
GLEICHEN AGCM, AB CA,-112.9333,50.9333,5.61,2016,2.62,2019
GRASSY LAKE, AB CA,-111.7333,49.8667,7.47,2016,4.47,2019
HAYS, AB CA,-111.8,50.1,6.26,1961,2.84,1955
HERRONTON EAST, AB CA,-113.35,50.6,1.69,1996,1.69,1996
HIGH RIVER, AB CA,-114.1667,50.4833,6.15,1987,0.97,1951
HILL SPRING, AB CA,-113.6333,49.2833,5.56,1992,5.56,1992
IRON SPRINGS AGDM, AB CA,-112.7333,49.9,7.06,2015,4.18,2019
IRVINE AGCM, AB CA,-110.2667,49.9833,7.14,2016,4.28,2019
LETHBRIDGE, AB CA,-112.8,49.6333,6.99,2016,4.24,2019
LETHBRIDGE, AB CA,-112.85,49.7,7.41,1910,4.27,1911
LETHBRIDGE A, AB CA,-112.8,49.6333,7.95,1987,2.85,1951
LETHBRIDGE A CR10, AB CA,-112.8,49.6333,6.97,2006,4.89,2002
LETHBRIDGE AWOS A, AB CA,-112.8,49.6333,6.69,2006,4.63,2009
LETHBRIDGE CDA, AB CA,-112.7667,49.7,7.85,2016,2.59,1951
LETHBRIDGE DEMO FARM AGDM, AB CA,-112.75,49.6833,7.17,2015,5.13,2018
MAGRATH, AB CA,-112.8667,49.4167,6.7,1958,5.42,1957
MAGRATH 2, AB CA,-112.9333,49.45,5.62,1962,5.43,1960
MEDICINE HAT, AB CA,-110.7167,50.0167,7.43,2016,4.39,2019
MEDICINE HAT A, AB CA,-110.7167,50.0167,8.13,1987,2.72,1887
MEDICINE HAT AWOS, AB CA,-110.7167,50.0167,4.77,2009,4.77,2009
MEDICINE HAT RCS, AB CA,-110.7167,50.0333,7.42,2006,4.66,2019
MEDICINE LODGE LO, AB CA,-110.3167,49.6333,3.67,2005,3.67,2005
MILLARVILLE, AB CA,-114.3667,50.7167,3.58,1981,1.22,1978
MOSSLEIGH AGCM, AB CA,-113.35,50.6667,3.77,2010,2.69,2019
MONARCH, AB CA,-113.1667,49.8167,7.33,1987,3.01,1996
MOUNTAIN VIEW VILLAGE, AB CA,-113.6,49.1333,5.57,2004,5.57,2004
NEIR AGDM, AB CA,-114.1,51.3667,5.17,2015,2.19,2019
OKOTOKS, AB CA,-113.9833,50.7167,4.47,1915,1.17,1927
PINCHER CREEK, AB CA,-114.0,49.5167,6.18,2016,3.42,2019
PINCHER CREEK, AB CA,-113.95,49.5,5.96,1976,3.16,1972
PINCHER CREEK A, AB CA,-114.0,49.5167,7.08,1987,3.02,1982
PINCHER CREEK AUT, AB CA,-114.0,49.5167,5.87,1999,2.53,1996
PINCHER CREEK CLIMATE, AB CA,-114.0,49.5167,6.14,2006,3.42,2019
PINCHER CREEK TOWN, AB CA,-113.9667,49.5167,6.48,1934,1.57,1951
PINE COULEE RESERVOIR, AB CA,-113.75,50.1167,6.43,2006,5.66,2004
POKAPPINI, AB CA,-113.6333,50.4167,5.71,1931,0.76,1927
PRIDDIS, AB CA,-114.45,50.8833,2.94,1973,2.94,1973
QUEENSTOWN, AB CA,-112.9833,50.6,6.21,2001,2.7,1996
QUEENSTOWN, AB CA,-112.8,50.6,3.51,2011,3.51,2011
RAINIER, AB CA,-112.0333,50.3667,4.83,1974,2.78,1975
RAYMOND, AB CA,-112.7,49.45,7.43,1931,3.28,1929
RAYMOND AGDM, AB CA,-112.6833,49.4833,7.03,2006,4.35,2019
ROLLING HILLS AGCM, AB CA,-111.7,50.2667,5.4,2012,3.48,2019
RONALANE, AB CA,-111.5667,50.0833,5.69,1921,2.87,1916
ROSEMARY AGDM, AB CA,-112.05,50.8333,5.18,2006,2.14,2019
SEVEN PERSONS AGDM, AB CA,-110.9167,49.9167,6.86,2016,4.01,2019
STANDARD AGCM, AB CA,-112.9833,51.2333,4.01,2011,3.32,2019
STAVELY AAFC, AB CA,-113.8833,50.1833,6.48,2015,3.9,2019
STRATHMORE, AB CA,-113.4167,51.05,5.41,1931,1.16,1927
STRATHMORE AGDM, AB CA,-113.2833,51.0333,5.59,2015,2.95,2019
STRATHMORE EAST, AB CA,-113.2167,51.1,2.44,1971,1.41,1972
SUFFIELD, AB CA,-111.15,50.2167,4.91,1923,1.71,1916
SUFFIELD A, AB CA,-111.1833,50.2667,7.95,1987,1.14,1951
TABER, AB CA,-112.1167,49.8,7.52,1981,2.86,1951
TRAVERS AGCM, AB CA,-112.8667,50.3,5.62,2017,3.86,2019
TURNER VALLEY, AB CA,-114.35,50.7167,3.33,1953,0.04,1951
UNIVERSITY OF CALGARY, AB CA,-114.1333,51.0833,6.86,1987,2.01,1965
VAUXHALL, AB CA,-112.1,50.0667,6.18,1931,2.39,1927
VAUXHALL CDA, AB CA,-112.1333,50.05,7.37,1987,2.82,1955
VAUXHALL CDA CS, AB CA,-112.1333,50.05,6.94,2016,3.03,1996
VAUXHALL NORTH, AB CA,-112.1167,50.1833,6.08,1999,2.77,1996
VULCAN, AB CA,-113.0667,50.5333,5.6,1963,2.12,1955
VULCAN, AB CA,-113.25,50.4,5.67,1992,2.2,1996
WHITLA, AB CA,-111.05,49.8667,6.27,1963,3.3,1965
WILDCAT HILLS, AB CA,-114.7167,51.2667,3.78,2006,2.88,2010
WRENTHAM AGDM, AB CA,-112.1167,49.5,6.83,2006,5.13,2008
COCHRANE VE6CQC, AB CA,-114.45,51.2333,4.46,1999,0.97,1996
KEOMA, AB CA,-113.6333,51.25,4.66,2001,1.04,1996
SPRINGBANK A, AB CA,-114.3667,51.1,5.12,1987,0.31,1996
TURNER VALLEY, AB CA,-114.3333,50.6333,4.27,1992,4.27,1992
OKOTOKS, AB CA,-113.9667,50.7333,6.38,2016,1.95,1996
PICTURE BUTTE WEST, AB CA,-112.7833,49.8667,6.67,1988,4.87,1989
ADEN, AB CA,-111.3167,49.05,7.3,1976,4.44,1975
ALTAWAN, AB CA,-110.0167,49.25,0.98,1985,0.98,1985
BONNIE VIEW, AB CA,-112.6333,49.3167,3.0,1978,3.0,1978
DEL BONITA, AB CA,-112.8,49.0333,4.99,1953,1.98,1955
DEL BONITA AGDM, AB CA,-112.8167,49.05,6.07,2015,3.49,2009
EAGLE BUTTE, AB CA,-110.3667,49.5833,5.06,1998,1.78,1969
GLASSFORD, AB CA,-110.7,49.3667,6.0,1931,3.78,1933
MANYBERRIES CDA, AB CA,-110.4667,49.1167,7.07,1987,1.74,1951
MASINASIN, AB CA,-111.65,49.1333,8.24,1987,5.67,1995
MASINASIN AGDM, AB CA,-111.65,49.1333,7.51,2006,4.36,2019
MILK RIVER, AB CA,-112.05,49.1333,6.47,2016,2.55,1996
MILK RIVER, AB CA,-111.5333,49.1667,7.03,1963,3.4,1978
MILK RIVER RIDGE RESERVOIR, AB CA,-112.5333,49.2833,4.35,2008,4.35,2008
MILK R VERDIGRIS L, AB CA,-112.0333,49.2,4.94,1968,4.94,1968
ONEFOUR CDA, AB CA,-110.4667,49.1167,7.03,2006,2.84,1996
PAKOWKI LAKE AGCM, AB CA,-111.1333,49.2167,5.87,2017,3.88,2019
WHISKEY GAP, AB CA,-112.95,49.0167,5.16,1981,2.51,1975
AKAMINA PASS, AB CA,-114.05,49.0333,2.9,2003,2.27,2005
ANTHRACITE, AB CA,-115.5,51.2,4.18,1934,0.85,1951
BANFF CS, AB CA,-115.55,51.2,4.17,2016,1.62,2002
BANFF, AB CA,-115.5667,51.1833,5.0,1987,-0.09,1951
BEAVER MINES, AB CA,-114.1833,49.4667,6.48,1987,1.18,1951
BEAVER MINES, AB CA,-114.1833,49.4667,4.58,2017,3.42,2019
BIGHORN DAM, AB CA,-116.3333,52.3167,4.73,1987,0.69,1996
BOB CREEK, AB CA,-114.25,49.8833,4.07,1981,1.41,1982
BOW VALLEY, AB CA,-115.0667,51.0833,5.06,2015,1.29,1996
BOW VALLEY PROV PARK, AB CA,-115.0667,51.0833,4.14,1974,3.08,1989
BLAIRMORE HQTS RANGER STATION, AB CA,-114.4333,49.6167,4.66,1987,1.73,1985
BULLHORN COULEE RESERVOIR, AB CA,-113.3667,49.3,5.48,2012,4.73,2011
BULLHORN HEADWATERS, AB CA,-113.55,49.15,4.54,2010,4.01,2011
BURNS CREEK, AB CA,-114.8833,50.6167,0.43,2004,0.1,2005
CAMERON FALLS, AB CA,-113.9167,49.05,7.03,1987,3.7,1985
CASTLE MOUNTAIN VILLAGE, AB CA,-115.9167,51.2667,1.79,1987,-0.11,1993
CASTLE, AB CA,-114.3333,49.4,3.49,1967,1.68,1975
CHAPEL ROCK, AB CA,-114.2833,49.7167,4.53,2004,4.53,2004
CHIEF CUSTOMS, AB CA,-113.6667,49.0,4.62,2006,4.06,2005
COLEMAN, AB CA,-114.5833,49.6333,5.55,1987,1.53,1996
COLEMAN RANGER STATION, AB CA,-114.5,49.65,3.94,1968,3.94,1968
COLUMBIA ICEFIELD, AB CA,-117.1667,52.2333,-1.62,1976,-2.57,1972
COWLEY TODD CREEK, AB CA,-114.2667,49.7667,4.43,1981,4.43,1981
CROWSNEST CREEK, AB CA,-114.6833,49.6,3.42,2004,3.38,2003
CROWSNEST, AB CA,-114.4833,49.6333,5.15,2016,1.16,1996
CUTHEAD LAKE, AB CA,-115.7667,51.45,-0.79,2003,-1.28,2005
DEVONA, AB CA,-118.0333,53.1667,3.67,2004,3.67,2004
ELBOW RANGER STATION, AB CA,-114.7,50.9,3.43,2005,0.01,1982
EXSHAW, AB CA,-115.2,51.0667,5.34,1939,2.52,1937
FALSE NICHOLAS, AB CA,-116.5,51.6333,-4.1,2004,-5.75,2002
FORGET ME NOT MOUNTAIN, AB CA,-114.7,50.7333,2.98,2006,2.27,2005
GHOST RANGER STATION, AB CA,-114.9333,51.3,4.0,1981,0.42,1982
HIGHWOOD AU B1, AB CA,-114.3667,50.55,1.88,1967,1.3,1971
JAMES RIVER HEADWATERS, AB CA,-115.3167,51.7667,1.97,2004,1.79,2003
JASPER, AB CA,-118.15,52.8833,4.35,1926,1.48,1919
JASPER, AB CA,-118.0667,52.8833,5.34,1987,0.6,1951
JASPER WARDEN, AB CA,-118.0333,52.9333,4.79,2016,2.04,2019
JASPER WEST GATE, AB CA,-118.3833,52.8667,3.08,1987,0.7,1978
JOB CREEK, AB CA,-116.7833,52.35,0.41,2006,0.11,2003
KANANASKIS, AB CA,-115.0333,51.0333,5.26,1987,0.96,1955
KANANASKIS BOUNDARY RANGER STATION, AB CA,-115.1167,50.9833,1.91,1966,0.91,1971
KANANASKIS POCATERRA, AB CA,-115.1167,50.7167,2.73,1987,-1.31,1996
LAKE LOUISE, AB CA,-116.2167,51.4333,2.3,1998,-1.92,1927
LIVINGSTONE, AB CA,-114.3833,49.8833,1.77,1966,0.91,1965
LOST CREEK SOUTH, AB CA,-114.7,50.1667,0.61,2006,0.05,2005
LUNDBRECK, AB CA,-114.1333,49.9167,3.97,1931,0.16,1955
LYNDON, AB CA,-113.8833,50.0167,4.8,1958,3.15,1964
MARMOT BASIN, AB CA,-118.1,52.6833,0.89,1998,-1.34,2000
MOUNTAIN AIRE LODGE, AB CA,-115.2833,51.65,1.25,1974,-0.5,1975
MOUNT ODLUM, AB CA,-114.9,50.4833,-0.08,2003,-0.46,2005
NORDEGG, AB CA,-116.0833,52.4667,3.22,1934,-0.55,1916
NORDEGG CS, AB CA,-116.05,52.5,3.96,2016,1.47,2019
NORDEGG RANGER STATION, AB CA,-116.05,52.5,3.44,1987,-1.47,1996
PARKER RIDGE, AB CA,-117.1333,52.2,-1.76,2000,-1.76,2000
PASQUE, AB CA,-114.6167,50.1,1.75,2006,1.23,2005
PEKISKO, AB CA,-114.4167,50.3667,4.25,2016,2.22,2011
PEKISKO, AB CA,-114.4167,50.3667,4.33,1987,0.04,1951
RACEHORSE CREEK, AB CA,-114.6333,49.8167,2.02,2003,1.73,2004
RED DEER RANGER STATION, AB CA,-115.2167,51.6667,1.46,1967,0.35,1971
SASK RIVER CROSSING 2, AB CA,-116.7167,51.9667,3.32,2006,1.53,2000
SCALP CREEK, AB CA,-115.65,51.8,0.68,2005,0.68,2005
SCOTCH CAMP, AB CA,-115.8,51.6667,1.88,2004,1.6,2003
SHEEP RANGER STATION, AB CA,-114.65,50.65,2.33,1966,1.33,1971
SHUNDA RANGER STATION, AB CA,-115.7667,52.4833,2.14,1965,2.14,1965
SOUTH ESK, AB CA,-117.2,52.6667,-0.19,2005,-0.19,2005
SPIONKOP CREEK, AB CA,-114.0833,49.2167,2.04,2003,1.42,2005
ST. MARY RESERVOIR, AB CA,-113.1167,49.3667,5.75,2013,4.76,2011
STREETER, AB CA,-114.0667,50.1167,4.14,2004,3.96,2005
WATERTON PARK GATE, AB CA,-113.8167,49.1333,6.62,2016,4.32,2009
SUNSHINE CS, AB CA,-115.7833,51.0667,-2.24,2000,-2.33,2002
SUNWAPTA, AB CA,-117.45,52.45,1.17,1987,-2.08,1985
SUNWAPTA, AB CA,-117.45,52.45,1.35,2004,0.0,2002
UPR PARKER RIDGE, AB CA,-117.0833,52.1833,-1.77,2004,-2.97,2000
UPPER SASKATCHEWAN RANGER STATION, AB CA,-116.45,52.1833,3.81,1963,2.18,1964
WATERTON DAM, AB CA,-113.6833,49.3167,5.72,1999,3.67,2002
TEMPLE, AB CA,-116.15,51.4333,-0.17,2003,-1.22,2002
WATERTON RED ROCK, AB CA,-114.0333,49.1333,4.41,2006,3.72,2005
WATERTON RIVER CABIN, AB CA,-113.8333,49.1167,6.6,1987,3.45,1985
WESTCASTLE, AB CA,-114.3667,49.2833,3.82,2006,2.97,2005
BOW SUMMIT PC, AB CA,-116.4833,51.7167,-0.9,2002,-0.9,2002
DOGRIB CREEK, AB CA,-115.5,51.6667,0.16,2004,0.11,2005
GARDINER CREEK, AB CA,-114.5167,49.3667,1.02,2006,0.28,2005
VICARY CREEK, AB CA,-114.4667,49.8,3.14,2006,2.41,2005
CLARESHOLM TROUT CREEK, AB CA,-113.8667,49.9667,4.38,1967,2.32,1972
LITTLE ELBOW SUMMIT, AB CA,-114.9833,50.7,-0.01,2003,-0.01,2003
NAKISKA RIDGETOP, AB CA,-115.1833,50.95,-0.76,2006,-2.65,2019
MIETTE HOT SPRINGS, AB CA,-117.7667,53.1333,2.64,1988,2.64,1988
PELLETIER CREEK, AB CA,-114.4833,49.6667,3.24,2003,3.1,2004
WILLOUGHBY RIDGE, AB CA,-114.5,49.55,2.64,2003,2.61,2004
ANZAC, AB CA,-111.05,56.45,1.02,1953,-2.24,1951
ANZAC, AB CA,-111.0333,56.45,1.64,1976,0.03,1975
ATHABASCA, AB CA,-113.2833,54.7167,2.6,1931,-1.74,1950
ATHABASCA 2, AB CA,-113.5333,54.8167,4.69,1987,-0.81,1996
ATHABASCA AGCM, AB CA,-113.3833,54.6333,4.38,2015,1.96,2019
ATHABASCA LANDING, AB CA,-113.2833,54.7167,2.4,1915,-1.01,1909
ATMORE AGDM, AB CA,-112.8333,54.7833,3.01,2005,0.67,2009
BAIRD LAKE, AB CA,-114.4333,54.35,4.24,1987,-0.55,1996
BARRHEAD, AB CA,-114.3667,54.1167,1.57,1975,1.57,1975
BARRHEAD CS, AB CA,-114.45,54.1,4.12,2016,1.79,2009
BRULE BLACK CAT, AB CA,-117.8667,53.35,3.56,1992,-0.39,1996
ATHABASCA 1, AB CA,-113.2833,54.7167,3.54,2005,1.38,2009
CALLING LAKE RANGER STATION, AB CA,-113.1833,55.25,3.1,1987,-1.43,1996
CAMPSIE, AB CA,-114.6833,54.1333,4.28,1987,-0.98,1950
COALSPUR, AB CA,-117.0,53.1833,0.84,1928,-2.22,1922
COAL VALLEY, AB CA,-116.8167,53.0833,1.99,1981,0.39,1980
COLD CREEK RANGER STATION, AB CA,-115.5833,53.6167,3.09,1976,0.31,1975
DAPP AGDM, AB CA,-113.95,54.3167,2.74,2015,0.96,2014
CROSS LAKE, AB CA,-113.9167,54.6333,3.14,2005,-1.2,1982
EDSON, AB CA,-116.4667,53.5833,3.7,2016,1.34,2019
EDSON, AB CA,-116.4167,53.5833,3.64,1931,-0.78,1950
EDSON, AB CA,-116.4167,53.5833,2.94,1963,0.9,1966
EDSON A, AB CA,-116.4833,53.6,3.29,2005,-0.23,1996
EDSON A, AB CA,-116.4667,53.5833,4.01,1987,-0.04,1982
EDSON AWOS A, AB CA,-116.4667,53.5833,2.56,2007,1.46,2009
EDSON CLIMATE, AB CA,-116.45,53.5833,3.99,2016,1.7,2009
EMBARRAS A, AB CA,-111.3833,58.2,0.19,1958,-2.91,1951
ENTRANCE, AB CA,-117.7,53.3667,4.26,1934,0.46,1972
ENTWISTLE, AB CA,-114.9833,53.6,4.21,1991,2.5,1995
EVANSBURG AGCM, AB CA,-115.1167,53.5667,3.51,2013,2.81,2014
EVANSBURG CDA EPF, AB CA,-115.0,53.6333,2.55,1963,2.06,1962
FORT ASSINIBOINE RANGER STATION, AB CA,-114.9167,54.3667,4.55,1987,-0.17,1996
FORT ASSINIBOINE 2, AB CA,-114.8333,54.35,3.02,2005,0.67,2000
FORT ASSINIBOINE AGCM, AB CA,-114.7667,54.4167,2.55,2010,1.67,2009
FORT MCMURRAY A, AB CA,-111.2167,56.65,3.22,1987,-2.72,1951
FORT MCMURRAY, AB CA,-111.3833,56.7333,0.88,1938,-3.66,1933
FORT MCMURRAY CS, AB CA,-111.2167,56.65,3.17,1998,-0.02,2014
FORT MCMURRAY, AB CA,-111.2167,56.65,2.94,2016,0.53,2018
FORT MCMURRAY AWOS A, AB CA,-111.2167,56.65,2.21,2010,0.22,2009
GROUARD, AB CA,-116.15,55.5833,3.03,1926,-0.97,1933
HELDAR, AB CA,-115.0,54.0167,3.35,1928,0.1,1927
HENDRICKSON CREEK, AB CA,-118.45,53.8,-0.16,2017,-0.95,2019
HIGH PRAIRIE, AB CA,-116.5167,55.4333,3.41,1944,-0.96,1950
HIGH PRAIRIE AGDM, AB CA,-116.4833,55.4,3.0,2006,1.38,2009
HINTON, AB CA,-117.5667,53.4167,3.47,1963,1.51,1966
JASPER EAST GATE, AB CA,-117.8167,53.2333,5.6,1987,1.57,1982
KAYBOB 3, AB CA,-116.6333,54.1167,4.19,1988,1.6,1975
KINUSO RANGER STATION, AB CA,-115.4167,55.3333,3.47,1931,-0.81,1933
LAC LA BICHE, AB CA,-111.9667,54.7667,3.02,1958,-0.81,1951
LAC LA BICHE A, AB CA,-112.0167,54.7667,2.85,1976,0.54,1978
LAC LA BICHE AUT, AB CA,-112.0167,54.7667,2.71,1999,-1.14,1996
LAC LA BICHE CLIMATE, AB CA,-112.0167,54.7667,4.09,2016,0.85,2009
LUNNFORD, AB CA,-114.3167,54.0667,1.2,1973,0.17,1972
MEANOOK, AB CA,-113.35,54.6167,4.18,1931,-0.18,1933
MILDRED LAKE, AB CA,-111.5667,57.0333,3.52,2006,-1.02,1996
MILDRED LAKE, AB CA,-111.5833,57.0833,1.21,1976,-0.87,1975
MOON LAKE, AB CA,-114.9833,53.4667,2.88,1963,0.14,1955
MOOSE WALLOW, AB CA,-115.0167,54.2333,4.23,1987,1.34,1985
NITON JUNCTION CDA EPF, AB CA,-115.7,53.6,0.72,1968,-0.14,1969
PEAVINE, AB CA,-114.9167,54.0667,3.4,1953,0.07,1950
RICH LAKE AGDM, AB CA,-111.7,54.5,3.11,2005,0.09,2019
ROBB RANGER STATION, AB CA,-116.9667,53.2333,4.96,1987,0.53,1982
ROCHESTER, AB CA,-113.5167,54.3667,1.36,1961,0.98,1957
ROCHESTER NORTH, AB CA,-113.5167,54.45,2.23,1976,0.33,1975
RONAN, AB CA,-115.25,53.8833,3.97,1981,-0.37,1996
SANGUDO ROYDALE, AB CA,-114.95,53.95,0.43,1970,0.43,1970
SHINING BANK, AB CA,-115.9667,53.85,4.15,1987,-0.58,1996
SHOAL CREEK, AB CA,-115.0167,54.3833,2.88,1988,2.88,1988
SLAVE LAKE, AB CA,-114.7833,55.3,3.75,2015,1.79,2019
SLAVE LAKE RCS, AB CA,-114.7833,55.3,3.79,2016,1.62,2019
SLAVE LAKE CR10, AB CA,-114.7833,55.3,3.06,2006,1.43,2000
SLAVE LAKE A, AB CA,-114.7833,55.2833,2.9,2006,-0.62,1996
SLAVE LAKE, AB CA,-114.7667,55.2833,3.26,1931,-1.48,1950
SLAVE LAKE A, AB CA,-114.7833,55.3,3.97,1987,-0.79,1982
SLAVE LAKE AWOS A, AB CA,-114.7833,55.3,2.47,2011,0.92,2009
SMITH RANGER STATION, AB CA,-114.0333,55.1667,0.32,1974,-0.32,1969
STONEY MOUNTAIN, AB CA,-111.2667,56.3833,1.01,1963,-0.71,1962
SWAN HILLS, AB CA,-115.4167,54.6667,3.75,1987,2.32,1993
TAR ISLAND, AB CA,-111.45,56.9833,0.92,1980,0.92,1980
TAWATINAW AGCM, AB CA,-113.5167,54.3,2.94,2010,2.18,2014
VEGA, AB CA,-114.3833,54.4,3.68,1976,1.25,1971
VENICE, AB CA,-112.0667,54.6667,3.13,2005,1.4,1984
WAGNER, AB CA,-114.9833,55.35,2.09,1953,-1.18,1950
WANDERING RIVER RANGER STATION, AB CA,-112.5,55.2,0.69,1968,-0.22,1970
TWIN LAKES, AB CA,-114.8,54.0667,2.98,2001,1.47,2000
WHITECOURT, AB CA,-115.6667,54.1333,3.13,1976,-1.26,1950
WHITECOURT, AB CA,-115.7833,54.1333,4.7,2015,2.15,2009
WHITECOURT A, AB CA,-115.7833,54.15,4.67,1987,0.26,1996
WILDWOOD, AB CA,-115.2167,53.6,1.1,1956,1.1,1956
WILDWOOD NEWBERY, AB CA,-115.3167,53.5667,3.0,1991,1.85,1994
PRAIRIE RIVER, AB CA,-111.6833,58.6333,1.04,2006,-2.44,2004
HINTON VALLEY, AB CA,-117.5333,53.4,3.69,2009,3.68,2002
HOPE LAKE, AB CA,-114.8,53.9167,4.73,1987,4.73,1987
WILLOW CREEK 1, AB CA,-118.35,53.3833,1.53,2015,-0.52,2019
FORT ASSINIBOINE, AB CA,-114.9167,54.3667,4.07,1987,-0.76,1996
ASSUMPTION, AB CA,-118.6833,58.7,-1.18,1963,-3.32,1966
BALLATER, AB CA,-117.2167,55.5833,3.77,2005,-0.66,1996
BEAVERLODGE CDA, AB CA,-119.4,55.2,4.57,1987,-0.34,1933
BEAVERLODGE REDLOW, AB CA,-119.4,55.3333,1.79,1929,-0.85,1916
BEAVERLODGE CDA, AB CA,-119.4,55.2,3.04,1999,3.04,1999
BEAVERLODGE RCS, AB CA,-119.4,55.2,4.05,2015,1.73,2009
BERWYN, AB CA,-117.75,56.15,2.47,1926,-1.78,1950
BERWYN CDA, AB CA,-117.6833,56.15,3.21,1981,-0.9,1982
BLUEBERRY MOUNTAIN CDA EPF, AB CA,-119.1333,55.9333,0.87,1970,-0.92,1972
BROWNVALE AGCM, AB CA,-117.8833,56.1167,1.82,2013,1.23,2019
BUFFALO HEAD PRAIRIE, AB CA,-116.2667,58.05,1.85,1944,-3.77,1933
BASNETT, AB CA,-119.8167,57.3667,-0.86,2002,-0.86,2002
DEBOLT RANGER STATION, AB CA,-118.0667,54.9333,1.42,1967,0.01,1966
DEMMITT CDA EPF, AB CA,-119.9333,55.45,1.97,1976,-1.4,1972
DUNVEGAN, AB CA,-118.5833,55.9333,2.36,1925,-2.45,1880
EAGLESHAM AGCM, AB CA,-117.8833,55.8,3.91,2015,1.23,2018
EGG ISLAND, AB CA,-110.4333,58.9833,-2.23,2013,-2.23,2013
ELMWORTH, AB CA,-119.6667,55.0667,2.61,1931,-1.6,1933
ELMWORTH CDA EPF, AB CA,-119.5667,55.05,1.1,1970,0.19,1969
ELMWORTH CDA EPF, AB CA,-119.75,55.1,3.8,1981,1.07,1979
EUREKA RIVER, AB CA,-118.7333,56.4833,1.87,1987,-2.81,1996
FAIRVIEW, AB CA,-118.3833,56.0667,4.55,1987,-1.68,1933
FAIRVIEW AGDM, AB CA,-118.4333,56.0833,3.02,2005,0.66,2014
FAIRVIEW FSA, AB CA,-118.3833,56.0667,2.31,1958,-0.54,1972
FAIRVIEW THREE FOX FARM, AB CA,-118.5333,56.0833,2.69,1998,0.01,1994
FALHER, AB CA,-117.2,55.7333,1.75,1963,-0.66,1966
FOOTNER LAKE HQ, AB CA,-117.15,58.6167,-2.64,1968,-2.64,1968
FORT CHIPEWYAN, AB CA,-111.1167,58.7667,0.25,2016,-2.35,2014
FORT CHIPEWYAN, AB CA,-111.15,58.7167,-0.02,1928,-4.88,1933
FORT CHIPEWYAN A, AB CA,-111.1167,58.7667,0.85,1987,-4.34,1982
FORT CHIPEWYAN RCS, AB CA,-111.1167,58.7667,0.16,2016,-2.45,2014
FORT CHIPEWYAN AWOS A, AB CA,-111.1167,58.7667,0.63,2010,-2.07,2009
FORT VERMILION, AB CA,-116.05,58.45,-1.09,1906,-2.66,1907
FORT VERMILION CDA, AB CA,-116.0333,58.3833,0.88,1944,-4.79,1919
FORT VERMILION, AB CA,-116.0333,58.3833,2.04,2010,-0.59,2002
GOODFARE CDA EPF, AB CA,-119.7667,55.2667,2.76,1931,-1.16,1972
GRANDE CACHE, AB CA,-118.8667,53.9167,2.87,2003,2.81,2001
GRANDE CACHE S.T.P., AB CA,-119.15,53.8667,3.6,2006,3.6,2006
GRANDE CACHE RANGER STATION, AB CA,-119.1,53.9,4.57,1987,1.14,1975
GRANDE PRAIRIE, AB CA,-118.8,55.1667,1.99,1923,-0.78,1933
GRANDE PRAIRIE CR21X, AB CA,-118.8833,55.1833,2.89,2001,1.56,2002
GRANDE PRAIRIE A, AB CA,-118.8833,55.1833,4.07,1987,-1.2,1950
GROVEDALE RANGER STATION, AB CA,-118.8,55.0167,3.67,1992,-0.13,1996
HAWK HILLS AGCM, AB CA,-117.3,57.2667,2.24,2015,-0.1,2014
HIGH LEVEL, AB CA,-117.1667,58.6167,0.93,2016,-1.0,2018
HIGH LEVEL A, AB CA,-117.1,58.5167,-2.04,1969,-2.11,1968
HIGH LEVEL A, AB CA,-117.1667,58.6167,1.0,2016,-3.59,1996
HIGH LEVEL RANGER STATION, AB CA,-117.1,58.5167,-4.39,1966,-4.39,1966
HINES CREEK, AB CA,-118.6,56.4167,-0.6,1963,-0.6,1963
HINES CREEK RANGER STATION, AB CA,-118.6167,56.25,2.08,2005,2.08,2005
JEAN COTE AGCM, AB CA,-117.1167,55.9167,3.87,2015,1.3,2018
KEG RIVER, AB CA,-117.8667,57.8,1.96,1944,-3.21,1950
KEG RIVER RANGER STATION, AB CA,-117.6167,57.75,2.25,2005,-2.96,1996
KSITUAN, AB CA,-119.0667,55.9,4.47,1987,-0.61,1982
